id,han,chars
2477,"phế","廢"
2478,"quảng","廣"
2479,"giải","廨"
2480,"lẫm","廩"
2481,"lư","廬"
2482,"ung","廱"
2483,"sảnh","廳"
2484,"thinh","廳"
2485,"dẫn","廴"
2486,"diên","延"
2487,"duyên","延"
2488,"đình","廷"
2489,"kiến","建"
2490,"chấp","廾"
2491,"củng","廾"
2492,"nhập","廾"
2493,"nhập","廿"
2494,"niệm","廿"
2495,"trấp","廿"
2496,"biền","弁"
2497,"biện","弁"
2498,"di","异"
2499,"dị","异"
2500,"lộng","弄"
2501,"yểm","弇"
2502,"dịch","弈"
2503,"tệ","弊"
2504,"dặc","弋"
2505,"thức","式"
2506,"thí","弒"
2507,"cung","弓"
2508,"điếu","弔"
2509,"dẫn","引"
2510,"phất","弗"
2511,"hoằng","弘"
2512,"thí","弛"
2513,"trì","弛"
2514,"đệ","弟"
2515,"thao","弢"
2516,"tỉ","弢"
2517,"tỷ","弢"
2518,"để","弤"
2519,"quyên","弤"
2520,"huyền","弦"
2521,"hồ","弧"
2522,"siêu","弨"
2523,"nỗ","弩"
2524,"nõ","弩"
2525,"nhị","弭"
2526,"nhĩ","弭"
2527,"khuyên","弮"
2528,"nhược","弱"
2529,"trương","張"
2530,"cưỡng","弶"
2531,"cường","強"
2532,"cưỡng","強"
2533,"bật","弼"
2534,"cấu","彀"
2535,"khu","彄"
2536,"tệ","彆"
2537,"đàn","彈"
2538,"đạn","彈"
2539,"cương","彊"
2540,"cường","彊"
2541,"di","彌"
2542,"nhị","彌"
2543,"loan","彎"
2544,"ký","彐"
2545,"kí","彐"
2546,"lục","彔"
2547,"soán","彖"
2548,"thoán","彖"
2549,"triện","彖"
2550,"tuệ","彗"
2551,"trệ","彘"
2552,"vị","彙"
2553,"vựng","彙"
2554,"di","彝"
2555,"sam","彡"
2556,"hình","形"
2557,"đồng","彤"
2558,"ngạn","彥"
2559,"úc","彧"
2560,"thải","彩"
2561,"thái","彩"
2562,"thể","彩"
2563,"bưu","彪"
2564,"điêu","彫"
2565,"bân","彬"
2566,"bành","彭"
2567,"phiêu","彯"
2568,"chương","彰"
2569,"ảnh","影"
2570,"sách","彳"
2571,"xích","彳"
2572,"thược","彴"
2573,"phảng","彷"
2574,"dịch","役"
2575,"bỉ","彼"
2576,"phất","彿"
2577,"vãng","往"
2578,"chinh","征"
2579,"tồ","徂"
2580,"đãi","待"
2581,"tuần","徇"
2582,"tuẫn","徇"
2583,"ngận","很"
2584,"dương","徉"
2585,"hồi","徊"
2586,"luật","律"
2587,"hậu","後"
2588,"từ","徐"
2589,"kính","徑"
2590,"đồ","徒"
2591,"tủi","徖"
2592,"đắc","得"
2593,"bồi","徘"
2594,"tỉ","徙"
2595,"tỷ","徙"
2596,"thảng","徜"
2597,"thường","徜"
2598,"thung","從"
2599,"tòng","從"
2600,"tùng","從"
2601,"lai","徠"
2602,"ngự","御"
2603,"hoàng","徨"
2604,"huỳnh","徨"
2605,"phục","復"
2606,"tuần","循"
2607,"bàng","徬"
2608,"bạng","徬"
2609,"phảng","徬"
2610,"dao","徭"
2611,"vi","微"
2612,"hề","徯"
2613,"khê","徯"
2614,"chuỷ","徵"
2615,"trưng","徵"
2616,"kíp","徶"
2617,"đức","德"
2618,"triệt","徹"
2619,"khiếu","徼"
2620,"kiểu","徼"
2621,"kiếu","徼"
2622,"huy","徽"
2623,"tâm","心"
2624,"tâm","忄"
2625,"tất","必"
2626,"đao","忉"
2627,"kị","忌"
2628,"kỵ","忌"
2629,"nhẫn","忍"
2630,"thiên","忏"
2631,"thảm","忐"
2632,"tỉ","忐"
2633,"tỷ","忐"
2634,"thức","忑"
2635,"thắc","忒"
2636,"ngật","忔"
2637,"đại","忕"
2638,"thổn","忖"
2639,"thỗn","忖"
2640,"chí","志"
2641,"vong","忘"
2642,"mang","忙"
2643,"thiểm","忝"
2644,"bì","忞"
2645,"mân","忞"
2646,"trung","忠"
2647,"xung","忡"
2648,"ngỗ","忤"
2649,"ngoạn","忨"
2650,"trữ","忨"
2651,"khung","忪"
2652,"tung","忪"
2653,"khoái","快"
2654,"biện","忭"
2655,"phản","忭"
2656,"kỉ","忮"
2657,"kỷ","忮"
2658,"thầm","忱"
2659,"đồn","忳"
2660,"niệm","念"
2661,"nựu","忸"
2662,"hân","忺"
2663,"ức","忻"
2664,"hốt","忽"
2665,"phẫn","忿"
2666,"phó","怀"
2667,"bạch","怊"
2668,"siêu","怊"
2669,"tạc","怍"
2670,"tộ","怍"
2671,"chẩm","怎"
2672,"ưởng","怏"
2673,"nộ","怒"
2674,"chinh","怔"
2675,"phạ","怕"
2676,"bố","怖"
2677,"phố","怖"
2678,"thiếp","怗"
2679,"hỗ","怙"
2680,"đát","怛"
2681,"linh","怜"
2682,"tư","思"
2683,"đãi","怠"
2684,"di","怡"
2685,"cấp","急"
2686,"phanh","怦"
2687,"tính","性"
2688,"oán","怨"
2689,"nê","怩"
2690,"ni","怩"
2691,"quái","怪"
2692,"phật","怫"
2693,"phất","怫"
2694,"khiếp","怯"
2695,"hoảng","怳"
2696,"truật","怵"
2697,"than","怹"
2698,"châm","恁"
2699,"nhậm","恁"
2700,"nhẫm","恁"
2701,"tuân","恂"
2702,"tuần","恂"
2703,"thị","恃"
2704,"hằng","恆"
2705,"khuông","恇"
2706,"chỉ","恉"
2707,"hoảng","恍"
2708,"khổng","恐"
2709,"khủng","恐"
2710,"thứ","恕"
2711,"dạng","恙"
2712,"dương","恙"
2713,"huệ","恚"
2714,"giáp","恝"
2715,"kiết","恝"
2716,"hung","恟"
2717,"khôi","恢"
2718,"thứ","恣"
2719,"tứ","恣"
2720,"tuất","恤"
2721,"sỉ","恥"
2722,"nục","恧"
2723,"hận","恨"
2724,"ân","恩"
2725,"khác","恪"
2726,"đỗng","恫"
2727,"điềm","恬"
2728,"cung","恭"
2729,"tức","息"
2730,"cáp","恰"
2731,"kháp","恰"
2732,"dũng","恿"
2733,"khổn","悃"
2734,"thiêu","悄"
2735,"thiểu","悄"
2736,"tiễu","悄"
2737,"duyệt","悅"
2738,"giới","悈"
2739,"tất","悉"
2740,"thôi","悊"
2741,"đễ","悌"
2742,"hãn","悍"
2743,"ấp","悒"
2744,"hối","悔"
2745,"bội","悖"
2746,"bột","悖"
2747,"tủng","悚"
2748,"thoan","悛"
2749,"thuân","悛"
2750,"bào","悜"
2751,"khôi","悝"
2752,"ngộ","悟"
2753,"du","悠"
2754,"lượng","悢"
2755,"hoạn","患"
2756,"nâm","您"
2757,"nhĩ","您"
2758,"tông","悰"
2759,"phỉ","悱"
2760,"bi","悲"
2761,"thốt","悴"
2762,"tuỵ","悴"
2763,"trướng","悵"
2764,"muộn","悶"
2765,"quý","悸"
2766,"quí","悸"
2767,"hãnh","悻"
2768,"điệu","悼"
2769,"thê","悽"
2770,"không","悾"
2771,"nghễ","惄"
2772,"nịch","惄"
2773,"tình","情"
2774,"trù","惆"
2775,"đôn","惇"
2776,"kinh","惊"
2777,"oản","惋"
2778,"uyển","惋"
2779,"kị","惎"
2780,"kỵ","惎"
2781,"hoặc","惑"
2782,"quyền","惓"
2783,"dịch","惕"
2784,"thích","惕"
2785,"võng","惘"
2786,"chuyện","惙"
2787,"chuyết","惙"
2788,"hốt","惚"
2789,"hôn","惛"
2790,"tích","惜"
2791,"duy","惟"
2792,"huệ","惠"
2793,"ác","惡"
2794,"ô","惡"
2795,"ố","惡"
2796,"nhị","惢"
2797,"điếm","惦"
2798,"đoạ","惰"
2799,"noa","惰"
2800,"noạ","惰"
2801,"não","惱"
2802,"uẩn","惲"
2803,"uấn","惲"
2804,"tưởng","想"
2805,"chuý","惴"
2806,"suỷ","惴"
2807,"hoàng","惶"
2808,"huỳnh","惶"
2809,"xuân","惷"
2810,"xuẩn","惷"
2811,"bẫng","惸"
2812,"quỳnh","惸"
2813,"nặc","惹"
2814,"nhạ","惹"
2815,"tinh","惺"
2816,"tỉnh","惺"
2817,"trắc","惻"
2818,"thiểu","愀"
2819,"thu","愀"
2820,"sầu","愁"
2821,"va","愃"
2822,"khiên","愆"
2823,"dụ","愈"
2824,"dũ","愈"
2825,"du","愉"
2826,"bức","愊"
2827,"phúc","愊"
2828,"mẫn","愍"
2829,"phục","愎"
2830,"phức","愎"
2831,"ý","意"
2832,"miến","愐"
2833,"khế","愒"
2834,"yết","愒"
2835,"âm","愔"
2836,"ngạc","愕"
2837,"ngu","愚"
2838,"ái","愛"
2839,"hiệp","愜"
2840,"khiếp","愜"
2841,"thiệp","愜"
2842,"cảm","感"
2843,"lăng","愣"
2844,"quý","愧"
2845,"quí","愧"
2846,"khác","愨"
2847,"xác","愨"
2848,"tố","愫"
2849,"sánh","愬"
2850,"tố","愬"
2851,"sảng","愴"
2852,"sáng","愴"
2853,"thương","愴"
2854,"khải","愷"
2855,"hi","愾"
2856,"khái","愾"
2857,"nguyện","愿"
2858,"hỗn","慁"
2859,"lật","慄"
2860,"thao","慆"
2861,"ân","慇"
2862,"từ","慈"
2863,"hiềm","慊"
2864,"khiểm","慊"
2865,"khiển","慊"
2866,"thái","態"
2867,"hoang","慌"
2868,"hoảng","慌"
2869,"uẩn","慍"
2870,"uấn","慍"
2871,"thận","慎"
2872,"phiêu","慓"
2873,"mộ","慕"
2874,"thảm","慘"
2875,"tàm","慚"
2876,"thắc","慝"
2877,"đỗng","慟"
2878,"mạn","慢"
2879,"quán","慣"
2880,"tháo","慥"
2881,"ngận","慦"
2882,"huệ","慧"
2883,"tuệ","慧"
2884,"khái","慨"
2885,"âu","慪"
2886,"tùng","慫"
2887,"túng","慫"
2888,"lự","慮"
2889,"uỷ","慰"
2890,"uý","慰"
2891,"đoàn","慱"
2892,"khan","慳"
2893,"kiên","慳"
2894,"triếp","慴"
2895,"dung","慵"
2896,"thung","慵"
2897,"khánh","慶"
2898,"khảng","慷"
2899,"thích","慼"
2900,"dục","慾"
2901,"ưu","憂"
2902,"vắn","憉"
2903,"bại","憊"
2904,"bị","憊"
2905,"biệt","憋"
2906,"tăng","憎"
2907,"lân","憐"
2908,"liên","憐"
2909,"bằng","憑"
2910,"hội","憒"
2911,"hối","憒"
2912,"huệ","憓"
2913,"tiêu","憔"
2914,"tiều","憔"
2915,"ngận","憖"
2916,"đạn","憚"
2917,"đỗi","憝"
2918,"vắn","憢"
2919,"phẫn","憤"
2920,"đổng","憧"
2921,"sung","憧"
2922,"hàm","憨"
2923,"điềm","憩"
2924,"khế","憩"
2925,"vắn","憪"
2926,"mẫn","憫"
2927,"cảnh","憬"
2928,"vũ","憮"
2929,"vắn","憯"
2930,"hiến","憲"
2931,"ức","憶"
2932,"hám","憾"
2933,"đổng","懂"
2934,"khẩn","懇"
2935,"giải","懈"
2936,"ưng","應"
2937,"ứng","應"
2938,"áo","懊"
2939,"mậu","懋"
2940,"dịch","懌"
2941,"sần","懌"
2942,"lẫm","懍"
2943,"đỗi","懟"
2944,"muộn","懣"
2945,"chí","懥"
2946,"noạ","懦"
2947,"va","懧"
2948,"yêm","懨"
2949,"trừng","懲"
2950,"manh","懵"
2951,"mộng","懵"
2952,"lại","懶"
2953,"lãn","懶"
2954,"hoài","懷"
2955,"huyền","懸"
2956,"sám","懺"
2957,"cụ","懼"
2958,"nhiếp","懾"
2959,"ý","懿"
2960,"luyến","戀"
2961,"tráng","戇"
2962,"qua","戈"
2963,"việt","戉"
2964,"mậu","戊"
2965,"thú","戌"
2966,"tuất","戌"
2967,"thú","戍"
2968,"nhung","戎"
2969,"thành","成"
2970,"ngã","我"
2971,"giới","戒"
2972,"tiên","戔"
2973,"thương","戕"
2974,"tường","戕"
2975,"hoặc","或"
2976,"thích","戚"
2977,"giáp","戛"
2978,"kiết","戛"
2979,"kích","戟"
2980,"kham","戡"
2981,"tập","戢"
2982,"tấp","戢"
2983,"trấp","戢"
2984,"cái","戤"
2985,"ngái","戤"
2986,"đẳng","戥"
2987,"tiển","戩"
2988,"tiệt","截"
2989,"triệt","截"
2990,"lục","戮"
2991,"chiến","戰"
2992,"hí","戲"
2993,"hý","戲"
2994,"trạc","戳"
2995,"đái","戴"
2996,"hộ","戶"
2997,"hố","戽"
2998,"hỗ","戽"
2999,"lệ","戾"
3000,"phòng","房"
3001,"sở","所"
3002,"biên","扁"
3003,"biền","扁"
3004,"biển","扁"
3005,"thiên","扁"
3006,"quynh","扃"
3007,"quýnh","扃"
3008,"thái","扆"
3009,"ỷ","扆"
3010,"phiến","扇"
3011,"hỗ","扈"
3012,"phi","扉"
3013,"thủ","手"
3014,"thủ","扌"
3015,"thủ","才"
3016,"tài","才"
3017,"trát","扎"
3018,"bộc","扑"
3019,"phác","扑"
3020,"phốc","扑"
3021,"bái","扒"
3022,"bát","扒"
3023,"vát","扒"
3024,"đả","打"
3025,"nhưng","扔"
3026,"thác","托"
3027,"trượng","扙"
3028,"thược","扚"
3029,"giang","扛"
3030,"vu","扜"
3031,"hạn","扞"
3032,"hãn","扞"
3033,"thoa","扠"
3034,"cột","扢"
3035,"khất","扢"
3036,"khấu","扣"
3037,"ngột","扤"
3038,"thác","扥"
3039,"thiên","扦"
3040,"nữu","扭"
3041,"ban","扮"
3042,"bán","扮"
3043,"phẫn","扮"
3044,"xả","扯"
3045,"cầm","扲"
3046,"ban","扳"
3047,"thôn","扴"
3048,"phù","扶"
3049,"phê","批"
3050,"ách","扼"
3051,"trảo","找"
3052,"thừa","承"
3053,"kĩ","技"
3054,"kỹ","技"
3055,"biện","抃"
3056,"biến","抃"
3057,"du","抃"
3058,"sao","抄"
3059,"vấn","抆"
3060,"quyết","抉"
3061,"bả","把"
3062,"đam","抌"
3063,"canh","抏"
3064,"ngoan","抏"
3065,"ức","抑"
3066,"trử","抒"
3067,"trữ","抒"
3068,"trảo","抓"
3069,"bầu","抔"
3070,"bồi","抔"
3071,"đầu","投"
3072,"đẩu","抖"
3073,"kháng","抗"
3074,"chiết","折"
3075,"triết","折"
3076,"bình","抨"
3077,"phanh","抨"
3078,"thủ","抩"
3079,"thú","抩"
3080,"phi","披"
3081,"đài","抬"
3082,"si","抬"
3083,"thốt","抮"
3084,"thiêm","抯"
3085,"bão","抱"
3086,"chỉ","抵"
3087,"để","抵"
3088,"sất","抶"
3089,"mạt","抹"
3090,"áp","押"
3091,"trừu","抽"
3092,"mân","抿"
3093,"bật","拂"
3094,"phất","拂"
3095,"trụ","拄"
3096,"sách","拆"
3097,"xích","拆"
3098,"mẫu","拇"
3099,"niêm","拈"
3100,"lạp","拉"
3101,"lạt","拉"
3102,"phụ","拊"
3103,"phao","拋"
3104,"ban","拌"
3105,"bạn","拌"
3106,"phan","拌"
3107,"phách","拍"
3108,"linh","拎"
3109,"noa","拏"
3110,"biết","拐"
3111,"quải","拐"
3112,"kiềm","拑"
3113,"cự","拒"
3114,"thác","拓"
3115,"bạt","拔"
3116,"đà","拖"
3117,"tha","拖"
3118,"ao","拗"
3119,"ảo","拗"
3120,"nựu","拗"
3121,"câu","拘"
3122,"chuyết","拙"
3123,"biền","拚"
3124,"phan","拚"
3125,"chiêu","招"
3126,"bái","拜"
3127,"quát","括"
3128,"thức","拭"
3129,"cát","拮"
3130,"kiết","拮"
3131,"chửng","拯"
3132,"củng","拱"
3133,"quyền","拳"
3134,"thuyên","拴"
3135,"toàn","拴"
3136,"tản","拶"
3137,"tạt","拶"
3138,"khảo","拷"
3139,"biền","拼"
3140,"bính","拼"
3141,"duệ","拽"
3142,"duyệt","拽"
3143,"thập","拾"
3144,"nã","拿"
3145,"trì","持"
3146,"quải","挂"
3147,"chỉ","指"
3148,"khiết","挈"
3149,"xiết","挈"
3150,"án","按"
3151,"khiêu","挑"
3152,"thiêu","挑"
3153,"tha","挓"
3154,"oạt","挖"
3155,"oát","挖"
3156,"ai","挨"
3157,"nhai","挨"
3158,"na","挪"
3159,"toạ","挫"
3160,"toả","挫"
3161,"thiến","挭"
3162,"chấn","振"
3163,"sa","挲"
3164,"cục","挶"
3165,"ấp","挹"
3166,"đĩnh","挺"
3167,"noa","挼"
3168,"thiến","挼"
3169,"vãn","挽"
3170,"hiệp","挾"
3171,"ủ","捂"
3172,"quân","捃"
3173,"quấn","捃"
3174,"cứu","捄"
3175,"thổng","捅"
3176,"khổn","捆"
3177,"tróc","捉"
3178,"liệt","捋"
3179,"loát","捋"
3180,"bát","捌"
3181,"hãn","捍"
3182,"sao","捎"
3183,"niết","捏"
3184,"quyên","捐"
3185,"bộ","捕"
3186,"lê","捗"
3187,"thoan","捘"
3188,"tuấn","捘"
3189,"oản","捥"
3190,"bồng","捧"
3191,"bổng","捧"
3192,"phủng","捧"
3193,"xả","捨"
3194,"lệ","捩"
3195,"liệt","捩"
3196,"mân","捫"
3197,"môn","捫"
3198,"bài","捭"
3199,"bãi","捭"
3200,"cư","据"
3201,"cứ","据"
3202,"đảo","捯"
3203,"nhai","捱"
3204,"quyền","捲"
3205,"quyển","捲"
3206,"điến","捵"
3207,"chuỳ","捶"
3208,"chuý","捶"
3209,"tiệp","捷"
3210,"nại","捺"
3211,"niệm","捻"
3212,"niệp","捻"
3213,"noa","捼"
3214,"tốt","捽"
3215,"hân","掀"
3216,"hiên","掀"
3217,"điêm","掂"
3218,"tảo","掃"
3219,"táo","掃"
3220,"luân","掄"
3221,"xuyết","掇"
3222,"thụ","授"
3223,"điệu","掉"
3224,"bồi","掊"
3225,"ồn","掊"
3226,"phầu","掊"
3227,"chưởng","掌"
3228,"kỉ","掎"
3229,"kỷ","掎"
3230,"đào","掏"
3231,"cáp","掐"
3232,"kháp","掐"
3233,"bài","排"
3234,"dịch","掖"
3235,"quật","掘"
3236,"tranh","掙"
3237,"tránh","掙"
3238,"quải","掛"
3239,"đổng","掞"
3240,"diệm","掞"
3241,"thiểm","掞"
3242,"kinh","掠"
3243,"lược","掠"
3244,"thải","採"
3245,"thái","採"
3246,"tham","探"
3247,"thám","探"
3248,"xế","掣"
3249,"xiết","掣"
3250,"tiếp","接"
3251,"khống","控"
3252,"suy","推"
3253,"thôi","推"
3254,"yểm","掩"
3255,"thố","措"
3256,"tưu","掫"
3257,"cúc","掬"
3258,"thiệm","掭"
3259,"kiên","掮"
3260,"khẳng","掯"
3261,"khắng","掯"
3262,"thủ","掱"
3263,"bánh","掽"
3264,"duyện","掾"
3265,"giản","揀"
3266,"tiễn","揃"
3267,"nghiên","揅"
3268,"quĩ","揆"
3269,"quỹ","揆"
3270,"nhu","揉"
3271,"tai","揌"
3272,"tấu","揍"
3273,"tuyên","揎"
3274,"miêu","描"
3275,"đề","提"
3276,"sáp","插"
3277,"tháp","插"
3278,"chấm","揕"
3279,"trấm","揕"
3280,"ấp","揖"
3281,"tuần","揗"
3282,"dương","揚"
3283,"hoán","換"
3284,"át","揠"
3285,"yết","揠"
3286,"ác","握"
3287,"soại","揣"
3288,"suỷ","揣"
3289,"đế","揥"
3290,"giai","揩"
3291,"khai","揩"
3292,"thu","揪"
3293,"thu","揫"
3294,"yết","揭"
3295,"huy","揮"
3296,"điệp","揲"
3297,"thiệt","揲"
3298,"viên","援"
3299,"viện","援"
3300,"gia","揶"
3301,"bối","揹"
3302,"cấu","搆"
3303,"xác","搉"
3304,"sâu","搊"
3305,"triển","搌"
3306,"tổn","損"
3307,"bác","搏"
3308,"phóc","搐"
3309,"súc","搐"
3310,"tha","搓"
3311,"tao","搔"
3312,"dao","搖"
3313,"diêu","搖"
3314,"đảo","搗"
3315,"vện","搚"
3316,"kiêm","搛"
3317,"sưu","搜"
3318,"cảo","搞"
3319,"xao","搞"
3320,"sóc","搠"
3321,"tảng","搡"
3322,"táng","搡"
3323,"tấn","搢"
3324,"ách","搤"
3325,"truỳ","搥"
3326,"nạch","搦"
3327,"nặc","搦"
3328,"thiên","搧"
3329,"tháp","搨"
3330,"đường","搪"
3331,"ban","搬"
3332,"đáp","搭"
3333,"phiếu","搮"
3334,"mân","搰"
3335,"khiên","搴"
3336,"ốn","搵"
3337,"thưởng","搶"
3338,"trà","搽"
3339,"trách","搾"
3340,"trá","搾"
3341,"cách","搿"
3342,"ân","摁"
3343,"sát","摋"
3344,"quắc","摍"
3345,"quặc","摑"
3346,"quốc","摑"
3347,"bình","摒"
3348,"bính","摒"
3349,"suất","摔"
3350,"chích","摘"
3351,"trích","摘"
3352,"si","摛"
3353,"xi","摛"
3354,"quán","摜"
3355,"loa","摞"
3356,"lâu","摟"
3357,"tổng","摠"
3358,"thôi","摧"
3359,"tồi","摧"
3360,"ma","摩"
3361,"chích","摭"
3362,"thứ","摭"
3363,"chí","摯"
3364,"xiết","摯"
3365,"khu","摳"
3366,"sư","摴"
3367,"đoàn","摶"
3368,"mạc","摸"
3369,"mô","摸"
3370,"mô","摹"
3371,"mộ","摹"
3372,"tập","摺"
3373,"triệp","摺"
3374,"sàm","摻"
3375,"sảm","摻"
3376,"tiếu","摽"
3377,"lược","撂"
3378,"quyệt","撅"
3379,"quyết","撅"
3380,"phiệt","撇"
3381,"phiết","撇"
3382,"tệ","撇"
3383,"lao","撈"
3384,"triêm","撏"
3385,"sanh","撐"
3386,"xanh","撐"
3387,"tán","撒"
3388,"táp","撒"
3389,"tát","撒"
3390,"náo","撓"
3391,"nhiễu","撓"
3392,"tê","撕"
3393,"ty","撕"
3394,"tôn","撙"
3395,"tổn","撙"
3396,"tỗn","撙"
3397,"nhiên","撚"
3398,"niên","撚"
3399,"niệp","撚"
3400,"đặng","撜"
3401,"huy","撝"
3402,"chàng","撞"
3403,"tràng","撞"
3404,"kiệu","撟"
3405,"kiểu","撟"
3406,"đàm","撢"
3407,"đạn","撣"
3408,"đản","撣"
3409,"triệt","撤"
3410,"bát","撥"
3411,"xả","撦"
3412,"liêu","撩"
3413,"phủ","撫"
3414,"khiêu","撬"
3415,"khiếu","撬"
3416,"bá","播"
3417,"toát","撮"
3418,"soạn","撰"
3419,"bộc","撲"
3420,"phác","撲"
3421,"khâm","撳"
3422,"khấm","撳"
3423,"thát","撻"
3424,"hám","撼"
3425,"oa","撾"
3426,"qua","撾"
3427,"kiểm","撿"
3428,"ủng","擁"
3429,"lôi","擂"
3430,"lỗ","擄"
3431,"thiện","擅"
3432,"trạch","擇"
3433,"kích","擊"
3434,"đang","擋"
3435,"đảng","擋"
3436,"thao","操"
3437,"kình","擎"
3438,"hoán","擐"
3439,"sần","擐"
3440,"cầm","擒"
3441,"đam","擔"
3442,"đảm","擔"
3443,"bịch","擗"
3444,"tích","擗"
3445,"bích","擘"
3446,"phách","擘"
3447,"cứ","據"
3448,"tê","擠"
3449,"tễ","擠"
3450,"trạc","擢"
3451,"đảo","擣"
3452,"tỉnh","擤"
3453,"sát","擦"
3454,"trấm","擨"
3455,"nhũ","擩"
3456,"áp","擫"
3457,"nghĩ","擬"
3458,"hoạch","擭"
3459,"hoắc","擭"
3460,"bấn","擯"
3461,"ninh","擰"
3462,"cách","擱"
3463,"các","擱"
3464,"trịch","擲"
3465,"khoách","擴"
3466,"khuếch","擴"
3467,"hiệt","擷"
3468,"bãi","擺"
3469,"tẩu","擻"
3470,"lỗ","擼"
3471,"nhiễu","擾"
3472,"trích","擿"
3473,"phan","攀"
3474,"phàn","攀"
3475,"thu","攄"
3476,"liễn","攆"
3477,"niện","攆"
3478,"sư","攎"
3479,"long","攏"
3480,"lũng","攏"
3481,"lan","攔"
3482,"tiêm","攕"
3483,"anh","攖"
3484,"nhương","攘"
3485,"nhưỡng","攘"
3486,"sam","攙"
3487,"thoán","攛"
3488,"huề","攜"
3489,"nhiếp","攝"
3490,"toàn","攢"
3491,"toản","攢"
3492,"loan","攣"
3493,"luyên","攣"
3494,"than","攤"
3495,"toán","攥"
3496,"giác","攪"
3497,"giảo","攪"
3498,"quặc","攫"
3499,"lãm","攬"
3500,"nãng","攮"
3501,"năng","攮"
3502,"chi","支"
3503,"khi","攲"
3504,"phốc","攴"
3505,"phốc","攵"
3506,"thu","收"
3507,"khảo","攷"
3508,"du","攸"
3509,"cải","改"
3510,"công","攻"
3511,"ban","攽"
3512,"phóng","放"
3513,"chánh","政"
3514,"chính","政"
3515,"điêm","敁"
3516,"cố","故"
3517,"hiệu","效"
3518,"mê","敉"
3519,"mị","敉"
3520,"mẫn","敏"
3521,"cứu","救"
3522,"đoạt","敓"
3523,"ngữ","敔"
3524,"sắc","敕"
3525,"ngao","敖"
3526,"bại","敗"
3527,"tự","敘"
3528,"giao","教"
3529,"giáo","教"
3530,"tệ","敝"
3531,"sưởng","敞"
3532,"xưởng","敞"
3533,"cảm","敢"
3534,"tản","散"
3535,"tán","散"
3536,"đôn","敦"
3537,"xuyết","敪"
3538,"kính","敬"
3539,"xao","敲"
3540,"chỉnh","整"
3541,"địch","敵"
3542,"phu","敷"
3543,"sác","數"
3544,"sổ","數"
3545,"số","數"
3546,"ẩu","敺"
3547,"khu","敺"
3548,"quỳnh","敻"
3549,"quýnh","敻"
3550,"dịch","斁"
3551,"liễm","斂"
3552,"tệ","斃"
3553,"tễ","斃"
3554,"văn","文"
3555,"bân","斌"
3556,"phỉ","斐"
3557,"ban","斑"
3558,"ban","斒"
3559,"lan","斕"
3560,"đẩu","斗"
3561,"liệu","料"
3562,"hộc","斛"
3563,"tà","斜"
3564,"giả","斝"
3565,"châm","斟"
3566,"dác","斠"
3567,"giác","斠"
3568,"oát","斡"
3569,"cân","斤"
3570,"xích","斥"
3571,"phủ","斧"
3572,"thương","斨"
3573,"chước","斫"
3574,"trảm","斬"
3575,"trác","斮"
3576,"tư","斯"
3577,"tân","新"
3578,"trác","斲"
3579,"đoạn","斷"
3580,"đoán","斷"
3581,"chúc","斸"
3582,"phương","方"
3583,"ô","於"
3584,"ư","於"
3585,"thi","施"
3586,"du","斿"
3587,"bàng","旁"
3588,"kì","旂"
3589,"kỳ","旂"
3590,"chiên","旃"
3591,"mao","旄"
3592,"lữ","旅"
3593,"bái","旆"
3594,"toàn","旋"
3595,"tuyền","旋"
3596,"tinh","旌"
3597,"ni","旎"
3598,"nỉ","旎"
3599,"tộc","族"
3600,"triệu","旐"
3601,"lưu","旒"
3602,"sao","旓"
3603,"y","旖"
3604,"ỷ","旖"
3605,"kì","旗"
3606,"kỳ","旗"
3607,"phan","旛"
3608,"cốc","旝"
3609,"quái","旝"
3610,"dư","旟"
3611,"kí","旡"
3612,"ký","旡"
3613,"vô","旡"
3614,"kí","既"
3615,"ký","既"
3616,"nhật","日"
3617,"đán","旦"
3618,"chỉ","旨"
3619,"tảo","早"
3620,"tuần","旬"
3621,"húc","旭"
3622,"hức","旭"
3623,"ca","旮"
3624,"húc","旮"
3625,"húc","旯"
3626,"lạp","旯"
3627,"cán","旰"
3628,"hạn","旱"
3629,"vượng","旺"
3630,"mân","旻"
3631,"diên","旼"
3632,"quân","昀"
3633,"vân","昀"
3634,"ngang","昂"
3635,"trắc","昃"
3636,"bối","昄"
3637,"tác","昅"
3638,"côn","昆"
3639,"thăng","昇"
3640,"phưởng","昉"
3641,"quyên","昉"
3642,"hạo","昊"
3643,"xương","昌"
3644,"minh","明"
3645,"hôn","昏"
3646,"yêu","昐"
3647,"thương","昑"
3648,"dịch","易"
3649,"dị","易"
3650,"tích","昔"
3651,"cân","昕"
3652,"hân","昕"
3653,"dương","昜"
3654,"quĩ","昝"
3655,"quỹ","昝"
3656,"tảm","昝"
3657,"tinh","星"
3658,"ánh","映"
3659,"huyễn","昡"
3660,"xuân","春"
3661,"muội","昧"
3662,"tạc","昨"
3663,"hu","昫"
3664,"chiêu","昭"
3665,"thiệu","昭"
3666,"thị","是"
3667,"dục","昱"
3668,"điệt","昳"
3669,"mão","昴"
3670,"ngang","昴"
3671,"nật","昵"
3672,"nặc","昵"
3673,"sưởng","昶"
3674,"xưởng","昶"
3675,"bỉnh","昺"
3676,"bính","昺"
3677,"trào","晁"
3678,"triều","晁"
3679,"thì","時"
3680,"thời","時"
